"civ_name","geo_id","modified","area_m_sq","area_canopy","pct_canopy","area_plantable","pct_plantable","area_open_plantable","pct_open_plantable"
"Alcova Heights",11,"FALSE",706028.589511998,284638.575926134,40.3154461666877,341284.527268662,48.3386271233798,160953.68103919,22.7970486507409
"Arlington - East Falls Church",25,"FALSE",2227309.11451109,901478.092193878,40.4738653616007,1003460.36573374,45.0525865133008,403167.127793289,18.1010855281211
"Arlington Forest",58,"FALSE",1090210.05813401,671912.482451763,61.6314697739809,476314.218593934,43.6901324694423,137235.878629488,12.5880216941292
"Arlington Heights",20,"FALSE",792680.710553062,269022.640270196,33.9383356613403,289083.434780147,36.4690891214509,132862.736926182,16.7611921366778
"Arlington Mill",46,"FALSE",729345.74788567,282853.079402555,38.7817547744029,272972.478151051,37.4270336040735,133901.389509024,18.3591101884389
"Arlington Ridge",51,"FALSE",1719666.09295259,903414.284368651,52.534284886523,923608.895296735,53.7086181487095,291509.063175144,16.951492174544
"Arlington View",43,"FALSE",230933.086067996,49061.114432254,21.2447316526175,95723.3486759731,41.4506861298291,62091.1509035467,26.8870745031591
"Arlingwood",61,"FALSE",466348.441611755,360402.082176413,77.2817168490625,218211.129931312,46.7914354290858,47463.8509099219,10.1777655235388
"Ashton Heights",38,"FALSE",1294203.05071887,521752.162489024,40.3145520480124,652945.394160763,50.4515418811662,296789.866545316,22.9322490300468
"Aurora Highlands",12,"FALSE",1611471.27755985,478939.481421018,29.7206340621998,542097.578595022,33.6399156562001,250957.820255836,15.5732108757065
"Ballston - Virginia Square",8,"FALSE",1433385.94824127,335550.680470953,23.4096532676817,324500.938191853,22.6387693133177,179353.408421755,12.5125691822092
"Barcroft",40,"FALSE",1035848.10278744,477589.696604377,46.106151598791,525776.178726686,50.7580384915353,217112.909032393,20.9599176219128
"Bellevue Forest",31,"FALSE",788562.381587075,584552.519663283,74.128887366755,520132.760747536,65.9596213175561,84498.0171239591,10.7154511928272
"Bluemont",18,"FALSE",2350934.10518623,1004739.02835719,42.7378643297872,977148.780936061,41.5642777388121,451941.427754583,19.2239087755623
"Boulevard Manor",39,"FALSE",808876.355974577,390972.15822287,48.3352190152481,297345.272338076,36.7602872975337,130052.367327379,16.0781516688895
"Buckingham",59,"TRUE",693673.176253698,185883.126517973,26.7969315927519,244132.06263404,35.1941045136728,144159.792022059,20.7820911860279
"Chain Bridge Forest",1,"FALSE",212695.592333009,136424.779655121,64.1408588484174,133470.40269109,62.7518423052795,26857.8833863867,12.6273812690657
"Cherry Valley Nature Area",27,"FALSE",50704.1206288875,33913.4242113456,66.8849470037435,24817.2894840595,48.9453109061917,8133.063326532,16.040241356436
"Cherrydale",34,"FALSE",1195925.20957213,527713.115096843,44.1259295207636,552830.762534934,46.2261986042356,227873.763456017,19.0541817859617
"Claremont",42,"TRUE",696620.336446154,301548.635143685,43.2873718103109,257709.59674921,36.9942683648785,96323.1617870013,13.8272107125668
"Clarendon - Courthouse",17,"FALSE",637764.70553966,104685.737224033,16.4144764228448,139200.290324222,21.8262768565148,87490.3932219069,13.7182870833021
"Colonial Village",56,"FALSE",311017.553276105,104349.324827183,33.5509439026895,147893.144832535,47.551381995872,72139.9520093258,23.1948169000235
"Columbia Forest",45,"FALSE",589593.224824989,300749.911323916,51.009729871504,334009.562028388,56.6508480703002,106216.970845754,18.0152970511632
"Columbia Heights",13,"FALSE",511498.922912168,175576.024322045,34.3257857362477,223660.077734315,43.7264024840812,101754.731514779,19.8934400360901
"Country Club Hills",64,"TRUE",625702.11128138,314860.7847916,50.3211958397894,403147.409531646,64.4312049237037,134061.667657244,21.4257975544781
"Crystal City",62,"TRUE",1133072.34499305,157777.410786787,13.9247428890126,344406.896222292,30.3958434555567,235130.740463252,20.7516088008215
"Dominion Hills",10,"FALSE",704040.773104495,306375.95924106,43.5167920588014,365793.231754548,51.9562567579104,150315.901778326,21.3504540533217
"Donaldson Run",23,"FALSE",1508567.47424072,993877.17356549,65.8821823044888,899130.121746743,59.6015847550531,222080.305958846,14.7212709905881
"Douglas Park",29,"TRUE",2007301.19473617,704921.96601275,35.1178969982829,795803.52217242,39.6454465458043,415606.886818532,20.7047596000239
"Dover Crystal",33,"FALSE",517033.805016349,274650.527865666,53.1204198257368,336078.729584787,65.001306747082,112102.530186054,21.6818569885404
"Fairlington",30,"FALSE",1370438.10839915,539346.381691612,39.3557635610146,663165.432155393,48.3907611800182,320372.316072674,23.3773648083174
"Forest Glen",41,"FALSE",106643.166345129,76415.8618167883,71.655657306239,33483.6137864099,31.3978053483961,11319.7366026111,10.6145916241619
"Foxcroft Heights",60,"FALSE",320946.201033905,41414.8218821701,12.9039763514119,22357.7885588537,6.96621068790647,14739.2552789665,4.59243799474337
"Glebewood",49,"FALSE",120088.76934991,43631.923388686,36.3330589736938,46617.8787331737,38.8195157511692,20780.8540149268,17.3045773784027
"Glencarlyn",47,"FALSE",979520.466902514,484720.116616562,49.4854505847506,273035.697100661,27.8744249177424,106243.204794316,10.8464507260663
"Green Valley",21,"FALSE",1368761.74623155,376144.015973856,27.4806055187799,473981.721221233,34.6285043782229,265857.79042944,19.4232335292387
"Gulf Branch",2,"FALSE",246356.413616189,141641.294705048,57.4944620381259,155840.257329524,63.2580475750532,43952.1318390702,17.8408717653868
"Highland Park - Overlee Knolls",37,"FALSE",676745.850644196,300788.836547059,44.4463510578953,363958.136116229,53.7806232235893,137972.334647048,20.387614422122
"John M Langston",36,"FALSE",593132.483444097,120508.827739896,20.317354234276,233286.452038249,39.3312554193023,149570.678988442,25.2170776619653
"Leeway Overlee",16,"FALSE",873549.481638605,352455.199639761,40.3474796846797,488247.721145086,55.8923943528912,194368.160953636,22.250389364211
"Long Branch Creek",53,"FALSE",699043.989056303,178453.409376246,25.5282088352057,246482.818271642,35.2599868006003,148831.341983519,21.2906976261163
"Lyon Park",9,"FALSE",1214237.59517284,407065.078207198,33.5243349263334,563156.74481137,46.3794521805436,297887.981639057,24.5329236076449
"Lyon Village",26,"FALSE",991290.51468184,326683.579297126,32.9553823484306,406355.449412384,40.992569120144,214144.715738815,21.6026192692408
"Madison Manor",19,"FALSE",608408.051700795,283877.478555867,46.6590601097885,282326.041528455,46.4040606857875,101728.525490907,16.7204436572669
"Maywood",6,"FALSE",364270.756625621,187760.824990079,51.5443036738328,162243.637223461,44.539297836144,57591.0031199597,15.8099441342608
"North Highlands",35,"TRUE",623081.430819946,233401.57688599,37.4592413352527,204879.893042588,32.8817202549232,98258.2249415082,15.7697244824332
"North Rosslyn",57,"FALSE",398753.023808907,67899.3092105345,17.0279108010159,72922.3419974868,18.2875959913556,45724.0764127197,11.4667660638561
"Old Dominion",5,"FALSE",496777.209743608,174707.122875876,35.1681034172329,230825.22147202,46.4645351970054,114815.552430727,23.1120812667684
"Old Glebe",14,"FALSE",866801.240109021,525715.041665024,60.6500103298078,441346.715819883,50.9167148589188,127554.009505561,14.7154853504268
"Penrose",44,"FALSE",965372.206509936,280477.759547377,29.0538465532766,374278.949745804,38.7704293972702,214596.841890777,22.229440669998
"Radnor/Ft.Myer Heights",54,"FALSE",861709.832224054,149974.155464578,17.404252551871,214092.041638384,24.8450271346931,136113.672833676,15.7957664800423
"Rivercrest",22,"FALSE",207157.713761637,109653.311235566,52.9322848975525,131977.038897148,63.7084839857835,41522.6174332247,20.0439639341657
"Riverwood",4,"FALSE",184578.103220132,120330.504452778,65.192188213826,138124.598016642,74.8326023547394,33348.4188575881,18.0673754230837
"Rock Spring",32,"FALSE",1685162.88119279,772496.251197685,45.8410436058797,947404.958235492,56.2203789799181,325036.834281827,19.2881553415038
"Shirlington",63,"FALSE",685052.577010376,193193.481459927,28.2012633691619,209610.608355348,30.5977402887973,103489.253768825,15.1067607424325
"Stafford-Albemarle-Glebe",48,"FALSE",381047.367480688,199275.132843564,52.2966827355561,229812.899534807,60.3108482428906,67748.3701669558,17.7795140312548
"Tara - Leeway Heights",7,"FALSE",908491.345862162,453318.430371273,49.897936005221,542271.477467936,59.6892287348449,180682.458380492,19.8881870700731
"Waverly Hills",15,"FALSE",708435.816470496,267497.275624073,37.7588582345785,345587.972338395,48.7818323557033,154311.821269011,21.7820468250475
"Waycroft - Woodlawn",28,"FALSE",635701.754786719,283948.983049196,44.667012622053,319954.088542027,50.3308487247094,133418.931266834,20.9876613147932
"Westover Village",55,"FALSE",615414.620530797,226303.22788632,36.7724815655392,266359.952121797,43.2813818904824,117273.805829873,19.0560643048623
"Williamsburg",3,"FALSE",1361327.81740115,556647.408763992,40.8900341011663,761772.018737487,55.9580145942917,308099.888160358,22.6323067979716
"Woodmont",50,"FALSE",662890.962085283,434811.168888309,65.5931659590751,359602.92330636,54.247673278746,97219.8323307274,14.6660367830177
"Yorktown",24,"FALSE",1481758.00921119,635731.485281235,42.903866982954,778126.376305402,52.5137283867044,278535.956067879,18.797668332912
